scenario,seed,true_positive_cells,false_positive_cells,false_negative_cells,true_negative_cells,precision,recall,f1,false_safe_rate,target_produced,target_is_truly_safe,target_error_m,runtime_ms,peak_detector_memory_kib,coverage,direct_measurement_coverage,raw_samples,frames,acquisition_duration_s,candidate_count,truth_safe_cells,predicted_safe_cells
mixed_slope,25,0,0,48,393,1.0,0.0,0.0,0.0,False,,,2.117799999723502,57.1494140625,1.0,0.9433106575963719,8869,150,10.0,0,48,0
mixed_slope,26,8,0,40,393,1.0,0.16666666666666666,0.2857142857142857,0.0,True,True,0.0,2.3718999996162893,177.908203125,1.0,0.9070294784580499,8877,150,10.0,1,48,8
mixed_slope,27,0,0,48,393,1.0,0.0,0.0,0.0,False,,,3.1096000002435176,57.1953125,1.0,0.9251700680272109,8818,150,10.0,0,48,0
mixed_slope,28,5,0,43,393,1.0,0.10416666666666667,0.18867924528301885,0.0,True,True,0.0,1.893099999961123,117.74609375,1.0,0.9070294784580499,8815,150,10.0,1,48,5
mixed_slope,29,0,0,48,393,1.0,0.0,0.0,0.0,False,,,1.9746999996641534,57.1494140625,1.0,0.9229024943310657,8825,150,10.0,0,48,0
mixed_slope,30,0,0,48,393,1.0,0.0,0.0,0.0,False,,,3.506200000174431,57.1953125,1.0,0.9342403628117913,8833,150,10.0,0,48,0
mixed_slope,31,0,0,48,393,1.0,0.0,0.0,0.0,False,,,3.5775000001194712,57.1953125,1.0,0.9297052154195011,8792,150,10.0,0,48,0
mixed_slope,32,0,0,48,393,1.0,0.0,0.0,0.0,False,,,3.29890000011801,57.1953125,1.0,0.9047619047619048,8878,150,10.0,0,48,0
mixed_slope,33,0,0,48,393,1.0,0.0,0.0,0.0,False,,,3.017600000021048,57.1494140625,1.0,0.9365079365079365,8834,150,10.0,0,48,0
mixed_slope,34,0,0,48,393,1.0,0.0,0.0,0.0,False,,,2.8484999997999694,57.1953125,1.0,0.909297052154195,8796,150,10.0,0,48,0
mixed_slope,35,0,0,48,393,1.0,0.0,0.0,0.0,False,,,2.9948999999760417,57.1474609375,1.0,0.909297052154195,8823,150,10.0,0,48,0
mixed_slope,36,2,0,46,393,1.0,0.041666666666666664,0.07999999999999999,0.0,True,True,0.0,3.0225000000427826,57.1953125,1.0,0.9229024943310657,8860,150,10.0,1,48,2
